cfg,run,step,processed,true_distinct,estimate
many_duplicates,3,12,130000,19320,19497.7
many_duplicates,3,13,140000,19333,19504.6
many_duplicates,3,14,150000,19338,19504.6
many_duplicates,3,15,160000,19342,19507.6
many_duplicates,3,16,170000,19347,19515.4
many_duplicates,3,17,180000,19349,19515.4
many_duplicates,3,18,190000,19350,19515.4
many_duplicates,3,19,200000,19351,19527.2
many_duplicates,4,0,10000,7740,8056.34
many_duplicates,4,1,20000,12333,12629.4
many_duplicates,4,2,30000,15139,15504.5
many_duplicates,4,3,40000,16775,17038.6
many_duplicates,4,4,50000,17833,17973.6
many_duplicates,4,5,60000,18407,18571.5
many_duplicates,4,6,70000,18795,18918.3
many_duplicates,4,7,80000,19054,19156.9
many_duplicates,4,8,90000,19175,19244.8
many_duplicates,4,9,100000,19256,19317.3
many_duplicates,4,10,110000,19304,19337.8
many_duplicates,4,11,120000,19338,19390.6
many_duplicates,4,12,130000,19353,19410
many_duplicates,4,13,140000,19367,19429.4
many_duplicates,4,14,150000,19373,19429.4
many_duplicates,4,15,160000,19375,19429.4
many_duplicates,4,16,170000,19376,19429.4
many_duplicates,4,17,180000,19379,19429.4
many_duplicates,4,18,190000,19379,19429.4
many_duplicates,4,19,200000,19379,19429.4
many_duplicates,5,0,10000,7692,7773.27
many_duplicates,5,1,20000,12225,12457.8
many_duplicates,5,2,30000,15020,15067.7
many_duplicates,5,3,40000,16749,16787.7
many_duplicates,5,4,50000,17762,17933.2
many_duplicates,5,5,60000,18359,18497.8
many_duplicates,5,6,70000,18778,18834.3
many_duplicates,5,7,80000,19004,19082.3
many_duplicates,5,8,90000,19140,19166.4
many_duplicates,5,9,100000,19218,19200.6
many_duplicates,5,10,110000,19263,19237.5
many_duplicates,5,11,120000,19285,19255.7
many_duplicates,5,12,130000,19310,19289.7
many_duplicates,5,13,140000,19320,19308.5
many_duplicates,5,14,150000,19323,19308.5
many_duplicates,5,15,160000,19333,19324.8
many_duplicates,5,16,170000,19338,19324.8
many_duplicates,5,17,180000,19338,19324.8
many_duplicates,5,18,190000,19338,19324.8
many_duplicates,5,19,200000,19338,19324.8
many_duplicates,6,0,10000,7659,7397.46
many_duplicates,6,1,20000,12228,12087.7
many_duplicates,6,2,30000,15027,14771.4
many_duplicates,6,3,40000,16725,16430
many_duplicates,6,4,50000,17754,17418.6
many_duplicates,6,5,60000,18386,17984.9
many_duplicates,6,6,70000,18756,18369.9
many_duplicates,6,7,80000,18977,18636.7
many_duplicates,6,8,90000,19103,18723.7
many_duplicates,6,9,100000,19181,18766
many_duplicates,6,10,110000,19240,18836.7
many_duplicates,6,11,120000,19279,18862.4
many_duplicates,6,12,130000,19302,18880.6
many_duplicates,6,13,140000,19315,18899
many_duplicates,6,14,150000,19322,18899
many_duplicates,6,15,160000,19328,18902.7
many_duplicates,6,16,170000,19332,18902.7
many_duplicates,6,17,180000,19334,18902.7
many_duplicates,6,18,190000,19335,18902.7
many_duplicates,6,19,200000,19335,18902.7
many_duplicates,7,0,10000,7597,7367.14
many_duplicates,7,1,20000,12198,12367.3
many_duplicates,7,2,30000,15022,15398.9
many_duplicates,7,3,40000,16654,17104.7
many_duplicates,7,4,50000,17704,18126.1
many_duplicates,7,5,60000,18362,18829.8
many_duplicates,7,6,70000,18741,19204.5
many_duplicates,7,7,80000,18965,19484.3
many_duplicates,7,8,90000,19106,19548.9
many_duplicates,7,9,100000,19183,19642.1
many_duplicates,7,10,110000,19240,19712.3
many_duplicates,7,11,120000,19269,19812.5
many_duplicates,7,12,130000,19292,19838.9
many_duplicates,7,13,140000,19303,19858.2
many_duplicates,7,14,150000,19313,19858.2
many_duplicates,7,15,160000,19318,19858.2
many_duplicates,7,16,170000,19322,19858.2
many_duplicates,7,17,180000,19326,19858.2
many_duplicates,7,18,190000,19327,19858.2
many_duplicates,7,19,200000,19327,19858.2
many_duplicates,8,0,10000,7688,7786.63
many_duplicates,8,1,20000,12252,12588.5
many_duplicates,8,2,30000,15047,15258.9
many_duplicates,8,3,40000,16739,16751.8
many_duplicates,8,4,50000,17752,17776.3
many_duplicates,8,5,60000,18333,18286.6
many_duplicates,8,6,70000,18718,18732.2
many_duplicates,8,7,80000,18944,18946.1
many_duplicates,8,8,90000,19101,19098.3
many_duplicates,8,9,100000,19174,19192.3
many_duplicates,8,10,110000,19219,19225.5
many_duplicates,8,11,120000,19261,19304.3
many_duplicates,8,12,130000,19282,19329.4
many_duplicates,8,13,140000,19293,19332.3
many_duplicates,8,14,150000,19304,19342.6
many_duplicates,8,15,160000,19307,19342.6
many_duplicates,8,16,170000,19307,19342.6
many_duplicates,8,17,180000,19309,19342.6
many_duplicates,8,18,190000,19311,19342.6
many_duplicates,8,19,200000,19312,19342.6
many_duplicates,9,0,10000,7632,7571.52
many_duplicates,9,1,20000,12252,12332.5
many_duplicates,9,2,30000,15038,15235.7
many_duplicates,9,3,40000,16718,16977.8
many_duplicates,9,4,50000,17721,18005.8
many_duplicates,9,5,60000,18338,18616.6
many_duplicates,9,6,70000,18724,18997.4
many_duplicates,9,7,80000,18959,19194.7
many_duplicates,9,8,90000,19107,19393
many_duplicates,9,9,100000,19194,19448.8
many_duplicates,9,10,110000,19242,19480.1
many_duplicates,9,11,120000,19270,19516.2
many_duplicates,9,12,130000,19296,19547.6
many_duplicates,9,13,140000,19308,19555.5
many_duplicates,9,14,150000,19316,19555.5
many_duplicates,9,15,160000,19321,19558.4
many_duplicates,9,16,170000,19322,19566.4
many_duplicates,9,17,180000,19322,19566.4
many_duplicates,9,18,190000,19323,19574
many_duplicates,9,19,200000,19324,19574
many_duplicates,10,0,10000,7642,7680.93
many_duplicates,10,1,20000,12182,12289.9
many_duplicates,10,2,30000,14929,14875.4
many_duplicates,10,3,40000,16614,16497.1
many_duplicates,10,4,50000,17720,17571.5
many_duplicates,10,5,60000,18358,18128.1
many_duplicates,10,6,70000,18749,18555.4
many_duplicates,10,7,80000,18946,18777.7
many_duplicates,10,8,90000,19081,18927.9
many_duplicates,10,9,100000,19173,19028.6
many_duplicates,10,10,110000,19221,19063.3
many_duplicates,10,11,120000,19246,19092.6
many_duplicates,10,12,130000,19265,19117.1
many_duplicates,10,13,140000,19274,19124.7
many_duplicates,10,14,150000,19278,19132.3
many_duplicates,10,15,160000,19280,19132.3
many_duplicates,10,16,170000,19284,19134.2
many_duplicates,10,17,180000,19284,19134.2
many_duplicates,10,18,190000,19284,19134.2
many_duplicates,10,19,200000,19285,19134.2
many_duplicates,11,0,10000,7654,7713.67
many_duplicates,11,1,20000,12222,12467.2
many_duplicates,11,2,30000,15045,15132.3
many_duplicates,11,3,40000,16748,16807.1
many_duplicates,11,4,50000,17749,17719.8
many_duplicates,11,5,60000,18374,18396.9
many_duplicates,11,6,70000,18759,18848.2
many_duplicates,11,7,80000,18982,19074.8
many_duplicates,11,8,90000,19122,19146.4
many_duplicates,11,9,100000,19220,19195.7
many_duplicates,11,10,110000,19281,19254.5
many_duplicates,11,11,120000,19308,19289.7
many_duplicates,11,12,130000,19328,19296.4
many_duplicates,11,13,140000,19338,19296.4
